,Catalog Number,Province/State,Centroid Latitude,Centroid Longitude,Date Collected
0,MME 563,Georgia,30.8875,-81.4153,1984-01-06
1,MME 1108,Georgia,30.7458,-81.4597,1985-02-06
2,MME 1509,Georgia,30.8639,-81.4208,1986-01-12
3,MME 1549,North Carolina,36.0,-75.0,1986-02-07
4,MME 1551,North Carolina,35.45,-75.48,1986-04-15
5,MME 1552,North Carolina,35.72,-75.48,1986-05-12
6,MME 1749,Virginia,36.78,-75.93,1986-08-07
7,MME 1750,Virginia,37.12,-75.97,1986-08-16
8,MME 1751,Virginia,37.5,-76.27,1986-04-13
9,MME 1778,Georgia,30.8639,-81.4208,1986-07-29
10,MME 2001,North Carolina,34.67,-76.625,1986-04-12
11,550363,North Carolina,35.5792,-75.46,1984-01-15
12,550364,North Carolina,34.2356,-75.57,1984-04-29
13,550365,North Carolina,35.2336,-75.5514,1984-02-14
14,550372,North Carolina,35.2367,-75.6,1984-05-01
15,550375,New York,41.25,-72.0,1984-04-14
16,550381,Virginia,36.82,-76.07,1984-09-04
17,550382,Virginia,36.82,-76.07,1984-09-05
18,550386,Virginia,36.92,-76.07,1984-09-09
19,550387,Virginia,36.92,-75.98,1984-09-09
20,550388,Virginia,36.92,-76.02,1984-09-10
21,550394,Virginia,36.92,-76.05,1984-09-16
22,550395,Virginia,36.9,-76.07,1984-09-17
23,550398,Virginia,36.78,-75.95,1984-10-17
24,550400,North Carolina,35.22,-75.53,1984-10-24
25,550401,Virginia,37.93,-76.2,1984-10-31
26,550402,Virginia,36.67,-75.9,1984-10-31
27,550403,North Carolina,35.22,-75.63,1984-11-16
28,550406,North Carolina,34.75,-76.4,1984-12-13
29,550422,North Carolina,35.17,-75.78,1985-03-13
30,550428,North Carolina,35.18,-75.73,1985-03-29
31,550430,North Carolina,35.22,-75.65,1985-04-05
32,550432,North Carolina,35.23,-75.58,1985-04-11
33,550433,North Carolina,35.13,-75.88,1985-04-16
34,550434,North Carolina,35.17,-75.78,1985-04-18
35,550436,North Carolina,35.22,-75.53,1985-04-28
36,550439,Delaware,38.78,-75.08,1985-05-10
37,550440,Virginia,37.0,-76.32,1985-05-17
38,550442,Virginia,38.97,-75.28,1985-06-02
39,550445,Virginia,36.9,-76.07,1985-06-10
40,550454,Virginia,37.9,-76.07,1985-07-16
41,550455,Virginia,37.92,-76.12,1985-07-17
42,550481,North Carolina,35.82,-75.55,1985-09-20
43,550493,Maryland,38.15,-75.17,1985-11-16
44,550736,North Carolina,35.2,-75.7,1986-01-29
45,550747,North Carolina,35.25,-75.52,1986-02-07
46,550753,North Carolina,35.62,-75.47,1986-02-01
47,550756,North Carolina,35.22,-75.62,1986-02-20
48,550772,North Carolina,35.78,-75.53,1986-02-27
49,550816,North Carolina,35.6,-75.45,1986-04-18
50,550817,North Carolina,35.43,-75.5,1986-04-24
51,550820,North Carolina,35.73,-75.48,1986-05-02
52,550826,Virginia,36.92,-76.15,1986-04-07
53,550828,North Carolina,34.6,-76.52,1985-12-01
54,550832,North Carolina,,,1985-05-09
55,550833,Virginia,36.97,-76.4,1985-11-08
56,550835,Virginia,36.0,-75.97,1986-06-14
57,550838,Virginia,37.85,-75.37,1986-08-30
58,550851,Virginia,36.73,-76.13,1986-10-08
59,550852,North Carolina,35.18,-75.7894,1986-10-30
60,550854,Virginia,36.67,-75.88,1986-11-07
61,550855,Virginia,36.925,-76.18,1986-11-14
62,550873,North Carolina,36.18,-75.55,1986-12-16
63,550874,New York,41.15,-72.25,1986-12-11
64,550905,Virginia,36.0,-75.97,1986-06-09
65,MME 540,North Carolina,34.0,-76.0,1984-01-20
66,MME 542,North Carolina,35.22,-75.57,1984-02-11
67,MME 629,North Carolina,34.58,-76.53,1984-03-02
68,MME 645,North Carolina,35.0883,-75.9778,1984-04-18
69,MME 664,Georgia,30.7292,-81.4542,1984-03-12
70,MME 668,Georgia,30.8889,-81.4125,1984-03-16
71,MME 682,South Carolina,32.1806,-80.6939,1984-04-12
72,MME 688,North Carolina,35.285,-75.5133,1984-05-20
73,MME 689,North Carolina,35.4308,-75.4842,1984-05-20
74,MME 692,North Carolina,35.555,-75.4633,1984-05-22
75,MME 693,Virginia,37.0883,-75.9422,1984-05-17
76,MME 696,North Carolina,36.17,-75.75,1984-05-23
77,MME 780,Virginia,37.1417,-75.9736,1984-05-26
78,MME 793,Virginia,36.92,-76.0,1984-06-22
79,MME 794,Virginia,37.0,-76.3,1984-06-24
80,MME 795,Virginia,37.08,-75.0,1984-06-21
81,MME 796,Virginia,37.08,-75.0,1984-06-21
82,MME 797,Virginia,37.08,-75.0,1984-06-21
83,MME 805,Virginia,36.0,-76.0,1984-07-06
84,MME 806,Virginia,36.7,-75.925,1984-08-05
85,MME 807,Virginia,36.9042,-96.0625,1984-08-05
86,MME 809,Georgia,31.98,-80.85,1984-06-15
87,MME 820,Georgia,30.75,-81.4603,1984-07-16
88,MME 828,Georgia,31.07,-81.4,1984-08-24
89,MME 847,Virginia,36.9,-76.07,1984-09-22
