"","X","Catalog.Number","Province.State","Centroid.Latitude","Centroid.Longitude","Date.Collected","Estimated_Infection_Date","Lat"
"1",0,"MME 2158","Maryland",38.38,-75.05,"1987-03-30","1987-03-10",38
"2",1,"MME 2265","North Carolina",35.68,-75.48,"1987-05-07","1987-04-10",36
"3",2,"MME 2522","Virginia",36.9,-76.33,"1987-07-13","1987-06-27",37
"4",3,"MME 2524","Virginia",37,-76,"1987-07-17","1987-06-18",37
"6",5,"MME 2575","Virginia",37.32,-76.25,"1987-08-02","1987-07-15",37
"7",6,"MME 2582","Virginia",36.9628,-76.4167,"1987-08-03","1987-07-15",37
"8",7,"MME 2583","Virginia",37.3617,-76.33,"1987-08-03","1987-07-09",37
"9",8,"MME 2584","Virginia",37.1,-76.33,"1987-08-03","1987-07-14",37
"11",10,"MME 2589","Virginia",36.8433,-75.9733,"1987-08-05","1987-07-19",37
"12",11,"MME 2592","Virginia",37.2306,-76.0114,"1987-08-05","1987-07-12",37
"14",13,"MME 2602","Virginia",36,-75,"1987-08-07","1987-07-12",36
"17",16,"MME 2623","Virginia",37.83,-76.2517,"1987-07-03","1987-06-09",38
"18",17,"MME 2627","Virginia",36.92,-76.05,"1987-08-11","1987-07-08",37
"22",21,"MME 2637","Virginia",37,-76.3,"1987-08-14","1987-07-15",37
"24",23,"MME 2676","Virginia",36.9414,-76.2281,"1987-08-21","1987-07-22",37
"25",24,"MME 2694","Virginia",36.93,-76.03,"1987-08-23","1987-08-05",37
"27",26,"MME 2696","Virginia",36.67,-75.9,"1987-08-23","1987-08-02",37
"29",28,"MME 2705","Virginia",37,-75.5,"1987-08-25","1987-07-30",37
"35",34,"MME 2722","North Carolina",34.3561,-76.3144,"1987-08-30","1987-08-09",34
"36",35,"MME 2729","North Carolina",34.72,-76.55,"1987-08-31","1987-08-12",35
"37",36,"MME 2732","Virginia",36.95,-76.42,"1987-09-02","1987-08-17",37
"42",41,"MME 2910","North Carolina",33.92,-78.27,"1987-10-27","1987-10-02",34
"43",42,"MME 2911","North Carolina",33.92,-78.27,"1987-10-27","1987-10-03",34
"44",43,"MME 2913","South Carolina",32.75,-79.83,"1987-10-25","1987-10-11",33
"45",44,"MME 2914","South Carolina",33,-78.83,"1987-10-27","1987-10-05",33
"47",46,"MME 2916","South Carolina",32.75,-79.75,"1987-10-18","1987-10-01",33
"48",47,"MME 2918","South Carolina",32.65,-78.92,"1987-10-29","1987-10-08",33
"49",48,"MME 2919","South Carolina",33.0283,-79.3483,"1987-11-04","1987-10-18",33
"50",49,"MME 2920","South Carolina",33.0283,-79.3483,"1987-11-04","1987-10-18",33
"51",50,"MME 2921","South Carolina",33.15,-79.2133,"1987-11-04","1987-10-20",33
"52",51,"MME 2922","South Carolina",33.2117,-79.1733,"1987-11-04","1987-10-20",33
"53",52,"MME 2923","South Carolina",33.24,-79.1767,"1987-11-04","1987-10-17",33
"54",53,"MME 2963","South Carolina",33.7517,-78.8017,"1987-11-04","1987-10-16",34
"55",54,"MME 2965","South Carolina",33.86,-78.5317,"1987-11-04","1987-10-19",34
"56",55,"MME 2967","North Carolina",34.44,-77.5033,"1987-11-04","1987-10-14",34
"57",56,"MME 2968","North Carolina",34.6433,-76.49,"1987-11-04","1987-10-14",35
"58",57,"MME 2969","South Carolina",32.65,-78.92,"1987-10-31","1987-10-11",33
"59",58,"MME 2970","South Carolina",32.38,-80.42,"1987-11-03","1987-10-17",32
"60",59,"MME 2971","South Carolina",32,-80,"1987-11-04","1987-10-15",32
"61",60,"MME 2983","New Jersey",39.05,-74.93,"1987-08-14","1987-07-11",39
"62",61,"MME 2984","New Jersey",39,-74,"1987-08-15","1987-07-17",39
"63",62,"MME 2985","New Jersey",38.9425,-74.8708,"1987-08-15","1987-07-28",39
"66",65,"MME 3001","New Jersey",39.32,-74.52,"1987-08-16","1987-07-19",39
"67",66,"MME 3002","New Jersey",39.97,-74.07,"1987-08-16","1987-07-20",40
"68",67,"MME 3003","New Jersey",39.9692,-74.1114,"1987-08-18","1987-07-18",40
"69",68,"MME 3006","New Jersey",39.37,-74.42,"1987-08-21","1987-07-20",39
"71",70,"MME 3009","New Jersey",39.35,-74.45,"1987-08-31","1987-07-29",39
"72",71,"MME 3010","New Jersey",39.72,-74.13,"1987-09-04","1987-07-31",40
"73",72,"MME 3016","New Jersey",39,-74.7,"1987-09-06","1987-08-17",39
"74",73,"MME 3017","New Jersey",39,-74.7,"1987-09-07","1987-08-04",39
"75",74,"MME 3018","New Jersey",39,-74.7,"1987-09-07","1987-08-11",39
"76",75,"MME 3021","New Jersey",39.95,-74.07,"1987-09-13","1987-08-09",40
"77",76,"MME 3022","New Jersey",40.62,-74,"1987-09-19","1987-08-20",41
"78",77,"MME 3363","Georgia",32.0222,-80.8958,"1987-08-25","1987-07-25",32
"79",78,"MME 3388","Georgia",31.42,-81,"1987-12-21","1987-12-03",31
"80",79,"MME 4532","North Carolina",36.3417,-75.8333,"1987-08-07","1987-07-05",36
"81",81,"MME 6297","Delaware",38.9,-75.3,"1987-06-27","1987-05-24",39
"83",83,"MME 6300","Delaware",38.75,-75.08,"1987-07-21","1987-06-30",39
"84",84,"MME 6301","Delaware",38.53,-75.05,"1987-07-28","1987-07-10",39
"85",86,"550997","North Carolina",35.5458,-75.4639,"1987-04-18","1987-03-28",36
"87",88,"571013","Virginia",36.93,-76.23,"1987-05-15","1987-04-18",37
"90",91,"571019","North Carolina",35.225,-75.6217,"1987-06-08","1987-05-18",35
