,Catalog Number,Province/State,Centroid Latitude,Centroid Longitude,Date Collected,Estimated_Infection_Date
0,MME 2158,Maryland,38.38,-75.05,1987-03-30,1987-03-10
1,MME 2265,North Carolina,35.68,-75.48,1987-05-07,1987-04-10
2,MME 2522,Virginia,36.9,-76.33,1987-07-13,1987-06-27
3,MME 2524,Virginia,37.0,-76.0,1987-07-17,1987-06-18
4,MME 2536,Virginia,37.27,-76.03,1987-07-19,1987-07-02
5,MME 2575,Virginia,37.32,-76.25,1987-08-02,1987-07-15
6,MME 2582,Virginia,36.9628,-76.4167,1987-08-03,1987-07-15
7,MME 2583,Virginia,37.3617,-76.33,1987-08-03,1987-07-09
8,MME 2584,Virginia,37.1,-76.33,1987-08-03,1987-07-14
9,MME 2585,Virginia,37.3367,-76.2517,1987-08-03,1987-07-20
10,MME 2589,Virginia,36.8433,-75.9733,1987-08-05,1987-07-19
11,MME 2592,Virginia,37.2306,-76.0114,1987-08-05,1987-07-12
12,MME 2601,Virginia,36.0,-75.0,1987-08-07,1987-07-19
13,MME 2602,Virginia,36.0,-75.0,1987-08-07,1987-07-12
14,MME 2603,Virginia,36.0,-75.0,1987-08-07,1987-07-15
15,MME 2607,Maryland,,,1987-08-07,1987-07-15
16,MME 2623,Virginia,37.83,-76.2517,1987-07-03,1987-06-09
17,MME 2627,Virginia,36.92,-76.05,1987-08-11,1987-07-08
18,MME 2632,Virginia,37.27,-75.7933,1987-08-12,1987-07-14
19,MME 2635,Maryland,,,1987-08-12,1987-07-27
20,MME 2636,Maryland,,,1987-08-13,1987-07-24
21,MME 2637,Virginia,37.0,-76.3,1987-08-14,1987-07-15
22,MME 2672,Virginia,36.93,-76.2,1987-08-16,1987-08-02
23,MME 2676,Virginia,36.9414,-76.2281,1987-08-21,1987-07-22
24,MME 2694,Virginia,36.93,-76.03,1987-08-23,1987-08-05
25,MME 2695,North Carolina,36.3917,-75.8283,1987-08-23,1987-08-05
26,MME 2696,Virginia,36.67,-75.9,1987-08-23,1987-08-02
27,MME 2704,Virginia,37.0,-75.5,1987-08-25,1987-08-03
28,MME 2705,Virginia,37.0,-75.5,1987-08-25,1987-07-30
29,MME 2706,Virginia,37.37,-75.9906,1987-08-23,1987-07-23
30,MME 2707,Virginia,36.8206,-75.9856,1987-08-23,1987-07-31
31,MME 2708,Virginia,37.42,-75.97,1987-08-25,1987-08-03
32,MME 2711,Virginia,36.97,-76.42,1987-08-27,1987-08-07
33,MME 2712,Delaware,38.78,-75.07,1987-08-27,1987-08-04
34,MME 2722,North Carolina,34.3561,-76.3144,1987-08-30,1987-08-09
35,MME 2729,North Carolina,34.72,-76.55,1987-08-31,1987-08-12
36,MME 2732,Virginia,36.95,-76.42,1987-09-02,1987-08-17
37,MME 2747,North Carolina,35.8,-75.58,1987-09-04,1987-08-18
38,MME 2755,Maryland,,,1987-09-07,1987-08-21
39,MME 2841,Virginia,36.58,-75.87,1987-09-27,1987-09-10
40,MME 2881,Maryland,,,1987-08-12,1987-07-09
41,MME 2910,North Carolina,33.92,-78.27,1987-10-27,1987-10-02
42,MME 2911,North Carolina,33.92,-78.27,1987-10-27,1987-10-03
43,MME 2913,South Carolina,32.75,-79.83,1987-10-25,1987-10-11
44,MME 2914,South Carolina,33.0,-78.83,1987-10-27,1987-10-05
45,MME 2915,South Carolina,33.0,-78.83,1987-10-27,1987-10-08
46,MME 2916,South Carolina,32.75,-79.75,1987-10-18,1987-10-01
47,MME 2918,South Carolina,32.65,-78.92,1987-10-29,1987-10-08
48,MME 2919,South Carolina,33.0283,-79.3483,1987-11-04,1987-10-18
49,MME 2920,South Carolina,33.0283,-79.3483,1987-11-04,1987-10-18
50,MME 2921,South Carolina,33.15,-79.2133,1987-11-04,1987-10-20
51,MME 2922,South Carolina,33.2117,-79.1733,1987-11-04,1987-10-20
52,MME 2923,South Carolina,33.24,-79.1767,1987-11-04,1987-10-17
53,MME 2963,South Carolina,33.7517,-78.8017,1987-11-04,1987-10-16
54,MME 2965,South Carolina,33.86,-78.5317,1987-11-04,1987-10-19
55,MME 2967,North Carolina,34.44,-77.5033,1987-11-04,1987-10-14
56,MME 2968,North Carolina,34.6433,-76.49,1987-11-04,1987-10-14
57,MME 2969,South Carolina,32.65,-78.92,1987-10-31,1987-10-11
58,MME 2970,South Carolina,32.38,-80.42,1987-11-03,1987-10-17
59,MME 2971,South Carolina,32.0,-80.0,1987-11-04,1987-10-15
60,MME 2983,New Jersey,39.05,-74.93,1987-08-14,1987-07-11
61,MME 2984,New Jersey,39.0,-74.0,1987-08-15,1987-07-17
62,MME 2985,New Jersey,38.9425,-74.8708,1987-08-15,1987-07-28
63,MME 2986,New Jersey,39.05,-74.75,1987-08-06,1987-07-09
64,MME 2999,New Jersey,39.0,-74.7,1987-08-15,1987-07-12
65,MME 3001,New Jersey,39.32,-74.52,1987-08-16,1987-07-19
66,MME 3002,New Jersey,39.97,-74.07,1987-08-16,1987-07-20
67,MME 3003,New Jersey,39.9692,-74.1114,1987-08-18,1987-07-18
68,MME 3006,New Jersey,39.37,-74.42,1987-08-21,1987-07-20
69,MME 3008,New Jersey,39.08,-74.73,1987-08-25,1987-07-24
70,MME 3009,New Jersey,39.35,-74.45,1987-08-31,1987-07-29
71,MME 3010,New Jersey,39.72,-74.13,1987-09-04,1987-07-31
72,MME 3016,New Jersey,39.0,-74.7,1987-09-06,1987-08-17
73,MME 3017,New Jersey,39.0,-74.7,1987-09-07,1987-08-04
74,MME 3018,New Jersey,39.0,-74.7,1987-09-07,1987-08-11
75,MME 3021,New Jersey,39.95,-74.07,1987-09-13,1987-08-09
76,MME 3022,New Jersey,40.62,-74.0,1987-09-19,1987-08-20
77,MME 3363,Georgia,32.0222,-80.8958,1987-08-25,1987-07-25
78,MME 3388,Georgia,31.42,-81.0,1987-12-21,1987-12-03
79,MME 4532,North Carolina,36.3417,-75.8333,1987-08-07,1987-07-05
81,MME 6297,Delaware,38.9,-75.3,1987-06-27,1987-05-24
82,MME 6299,Delaware,38.88,-75.27,1987-07-30,1987-06-29
83,MME 6300,Delaware,38.75,-75.08,1987-07-21,1987-06-30
84,MME 6301,Delaware,38.53,-75.05,1987-07-28,1987-07-10
86,550997,North Carolina,35.5458,-75.4639,1987-04-18,1987-03-28
87,571010,North Carolina,35.5367,-75.4667,1987-05-14,1987-04-23
88,571013,Virginia,36.93,-76.23,1987-05-15,1987-04-18
89,571016,Virginia,36.93,-76.28,1987-05-21,1987-04-24
