,Patch,National Database Number,State,Latitude,Longitude,Observation Date,Estimated_Infection_Date,Sex,Age Class
29,Full,SE-2013-1149192,NC,36.09977,Ð76.21165,2013-07-18,2013-06-22,FEMALE,ADULT
128,Full,SE-2013-1153069,SC,32.8389,Ð79.70129,2013-10-31,2013-10-05,MALE,SUBADULT
1968,Full,SE-2013-1153070,SC,32.66444,Ð79.91669,2013-11-01,2013-10-09,UNKNOWN,
1969,Full,SE-2013-1153071,SC,33.5268,Ð79.0319,2013-11-02,2013-09-26,UNKNOWN,SUBADULT
2916,Full,SE-2014-1155861,NC,34.37953,Ð77.6107,2014-03-13,2014-02-19,MALE,SUBADULT
4258,Full,NE-2013-1150754,MD,38.240829,Ð75.135869,2013-09-03,2013-08-05,MALE,ADULT
4259,Full,NE-2013-1150755,MD,38.264927,Ð75.126327,2013-09-04,2013-08-10,MALE,SUBADULT
4745,Full,NE-2013-1148812,VA,38.07062,Ð76.53525,2013-06-21,2013-05-19,MALE,UNKNOWN
5110,Full,NE-2014-1157542,DE,38.855875,Ð75.242609,2014-05-05,2014-03-28,FEMALE,ADULT
5651,Full,SE-2014-1155357,NC,35.79603,Ð75.54013,2014-01-31,2014-01-10,MALE,
5658,Full,SE-2013-1148070,SC,32.55096,Ð80.217485,2013-04-11,2013-03-15,FEMALE,ADULT
5660,Full,SE-2013-1148072,SC,32.602814,Ð80.076208,2013-04-12,2013-03-07,MALE,ADULT
5661,Full,SE-2013-1148073,SC,32.76831,Ð79.8159,2013-04-18,2013-03-23,MALE,ADULT
5670,Full,NE-2014-1157515,VA,36.77655,Ð75.95477,2014-05-29,2014-05-03,FEMALE,UNKNOWN
5671,Full,NE-2014-1157516,VA,36.93639,Ð76.21282,2014-05-31,2014-04-23,MALE,UNKNOWN
5672,Full,NE-2014-1157517,VA,36.94841,Ð76.24017,2014-06-01,2014-04-27,MALE,UNKNOWN
5673,Full,NE-2014-1157518,VA,37.301104,Ð76.277587,2014-06-02,2014-05-07,UNKNOWN,UNKNOWN
5674,Full,NE-2014-1157519,VA,37.12658,Ð75.88795,2014-06-03,2014-04-28,MALE,UNKNOWN
5676,Full,NE-2014-1157521,VA,37.63075,Ð76.28859,2014-06-06,2014-05-15,MALE,UNKNOWN
5746,Full,NE-2014-1157543,DE,38.676716,Ð75.068851,2014-05-17,2014-04-15,MALE,SUBADULT
5747,Full,NE-2014-1157544,DE,38.913557,Ð75.304056,2014-05-29,2014-05-01,MALE,
5749,Full,NE-2014-1157614,VA,37.36717,Ð76.25649,2014-06-03,2014-05-04,FEMALE,UNKNOWN
5750,Full,NE-2014-1157615,VA,36.92223,Ð76.13821,2014-06-03,2014-04-29,MALE,UNKNOWN
5788,Full,SE-2013-1147402,NC,35.72876,Ð75.49809,2013-03-14,2013-02-16,MALE,
5794,Full,SE-2013-1148225,NC,35.262,Ð75.577,2013-05-05,2013-04-15,FEMALE,
5796,Full,SE-2013-1148227,NC,35.22023,Ð75.65572,2013-05-08,2013-04-16,MALE,ADULT
5797,Full,SE-2013-1148228,NC,35.441535,Ð75.484663,2013-05-09,2013-04-13,FEMALE,PUP/CALF
5798,Full,SE-2013-1148229,NC,34.63299,Ð77.13992,2013-05-08,2013-04-13,FEMALE,PUP/CALF
5799,Full,SE-2013-1148230,NC,34.71594,Ð76.45013,2013-05-02,2013-04-11,FEMALE,SUBADULT
5803,Full,NE-2013-1150513,VA,36.9539,Ð76.2489,2013-08-30,2013-08-03,UNKNOWN,UNKNOWN
5804,Full,NE-2013-1150514,VA,36.879581,Ð75.982556,2013-08-30,2013-08-07,UNKNOWN,UNKNOWN
5806,Full,NE-2013-1150516,VA,37.64616,Ð76.33316,2013-08-31,2013-08-03,UNKNOWN,UNKNOWN
