,0
0,16
1,11
2,15
3,22
4,11
5,6
6,22
7,19
8,8
9,53
10,16
11,81
12,37
13,16
14,10
15,33
16,9
17,156
18,39
19,125
20,65
21,67
22,159
23,113
24,85
25,49
26,54
27,52
28,133
29,235
30,54
31,140
32,140
33,104
34,102
35,142
36,55
37,43
38,104
39,34
40,133
41,50
42,45
43,9
44,50
45,22
46,21
47,18
48,10
49,6
50,5
51,36
52,80
53,12
54,100
55,165
56,35
57,35
58,90
59,76
60,43
61,51
62,66
63,16
64,27
65,40
66,76
67,81
68,143
69,93
70,5
71,9
72,27
73,13
74,63
75,21
76,15
77,20
78,41
79,9
80,11
81,70
82,67
83,39
84,57
85,42
86,10
87,7
88,76
89,13
90,40
91,42
92,28
93,6
94,14
95,58
96,28
97,5
98,11
99,23
100,11
101,17
102,5
103,5
104,23
105,17
106,51
107,12
108,43
109,17
110,24
111,52
112,34
113,33
114,18
115,29
116,33
117,5
118,25
119,29
120,23
121,51
122,47
123,70
124,56
125,12
126,6
127,8
128,8
129,10
130,10
131,18
132,10
133,78
134,57
135,7
136,32
137,7
138,62
139,7
140,9
141,8
142,10
143,6
144,9
145,10
146,22
147,6
148,10
149,7
150,8
151,10
152,5
153,15
154,8
155,5
156,6
157,5
158,11
159,9
160,5
161,8
162,5
163,13
164,5
165,7
166,8
167,23
168,6
169,8
170,16
171,12
172,29
173,10
174,26
175,7
176,5
177,22
178,8
179,5
180,11
181,22
182,21
183,15
184,15
185,12
186,6
187,9
188,39
189,9
190,6
191,6
192,5
193,12
194,10
195,10
196,37
197,10
198,11
199,7
200,5
201,6
202,8
203,11
204,9
205,6
206,8
207,24
208,6
209,5
210,6
211,11
212,7
213,10
214,9
215,7
216,6
217,8
218,5
219,17
