,dolphin_id,sight_date,lat,lon,Season,month,Cluster
3,2.0,1996-07-06,38.9256,-74.9131,1,7,2
4,2.0,2003-02-14,35.19196,-75.72858,2,2,2
5,2.0,2004-12-05,35.16037,-75.83122,3,12,2
6,2.0,2007-04-26,34.69317,-76.64733,3,4,2
7,2.0,2012-08-20,38.9286,-74.9516,1,8,2
8,2.0,2012-08-27,38.9307,-74.904,1,8,2
9,2.0,2013-06-19,39.045556,-75.132778,3,6,2
10,2.0,2014-06-08,36.9206,-75.99155,3,6,2
11,2.0,2014-09-29,36.994083,-76.29005,1,9,2
41,9.0,1996-01-26,34.67347,-76.62992,2,1,4
42,9.0,1996-12-30,34.6745,-76.62983,3,12,4
43,9.0,1997-01-12,34.6805,-76.65567,2,1,4
44,9.0,1998-07-12,35.849,-75.55467,1,7,4
45,9.0,1999-06-11,34.9517,-76.9027,3,6,4
46,9.0,1999-08-25,34.95318,-76.67689,1,8,4
47,9.0,1999-11-07,34.75517,-76.67416,3,11,4
48,9.0,2002-11-15,34.7535,-76.67404,3,11,4
49,9.0,2002-11-15,34.7703,-76.68622,3,11,4
50,9.0,2003-06-23,35.1997,-75.71116,3,6,4
51,9.0,2004-10-25,34.7782,-76.6839,3,10,4
52,9.0,2005-11-16,34.79105,-76.68597,3,11,4
53,9.0,2006-04-12,34.71894,-76.69417,3,4,4
54,9.0,2006-07-10,34.78417,-76.68577,1,7,4
55,9.0,2006-10-13,34.68168,-76.52216,3,10,4
56,9.0,2016-04-25,34.7094,-76.63439,3,4,4
57,10.0,1993-05-14,34.66533,-76.59633,3,5,4
58,10.0,1994-09-27,34.697,-76.62712,1,9,4
59,10.0,1995-03-16,34.66533,-76.59633,2,3,4
60,10.0,1995-05-15,34.66533,-76.59633,3,5,4
61,10.0,1995-10-24,34.66533,-76.59633,3,10,4
62,10.0,1995-10-31,34.66533,-76.59633,3,10,4
63,10.0,1996-04-17,34.629,-76.53833,3,4,4
64,10.0,1996-05-08,34.66233,-76.59017,3,5,4
65,10.0,1996-11-10,34.6175,-76.51833,3,11,4
66,10.0,1997-10-23,34.67347,-76.62992,3,10,4
67,10.0,2013-07-09,36.923033,-75.9925,1,7,4
127,17.0,1996-02-22,34.66533,-76.59633,2,2,4
128,17.0,1996-12-17,34.66533,-76.59633,3,12,4
129,17.0,1996-12-30,34.6745,-76.62983,3,12,4
130,17.0,1998-01-04,34.63467,-76.5505,2,1,4
131,17.0,1999-01-13,34.66962,-76.64107,2,1,4
132,17.0,1999-01-25,34.68583,-76.673,2,1,4
133,17.0,1999-02-26,34.67567,-76.63917,2,2,4
134,17.0,1999-07-26,35.81668,-75.59662,1,7,4
135,17.0,2001-01-29,34.6915,-76.6855,2,1,4
136,17.0,2001-02-14,34.676,-76.66917,2,2,4
137,17.0,2003-01-06,34.69217,-76.6775,2,1,4
138,17.0,2004-03-18,34.67883,-76.66283,2,3,4
139,17.0,2004-03-25,34.62267,-76.54467,2,3,4
140,17.0,2006-01-20,34.60117,-76.54483,2,1,4
141,17.0,2006-02-02,34.67347,-76.62992,2,2,4
186,21.0,1993-08-05,34.77027,-76.68582,1,8,3
187,21.0,1994-10-22,34.65312,-76.57243,3,10,3
188,21.0,1995-07-16,34.8645,-76.6917,1,7,3
189,21.0,1996-01-26,34.67347,-76.62992,2,1,3
190,21.0,1996-04-01,34.69122,-76.68722,3,4,3
191,21.0,1996-07-21,34.62583,-76.54273,1,7,3
192,21.0,1996-10-15,34.6775,-76.65733,3,10,3
193,21.0,1996-10-22,34.62583,-76.54273,3,10,3
194,21.0,1996-10-25,34.67607,-76.66922,3,10,3
195,21.0,1997-04-11,34.692,-76.69467,3,4,3
196,21.0,1997-08-01,34.69167,-76.72,1,8,3
197,21.0,1997-08-04,34.7634,-76.6779,1,8,3
198,21.0,1997-10-29,34.7247,-76.66607,3,10,3
199,21.0,1998-03-04,34.68833,-76.55672,2,3,3
200,21.0,1998-05-06,34.72417,-76.66717,3,5,3
201,21.0,1998-11-19,34.69183,-76.6945,3,11,3
202,21.0,1999-09-24,34.7433,-76.67027,1,9,3
203,21.0,2000-03-03,34.692,-76.70067,2,3,3
204,21.0,2000-04-02,34.71667,-76.69245,3,4,3
205,21.0,2000-07-19,35.87928,-75.62493,1,7,3
206,21.0,2001-02-14,34.70467,-76.67267,2,2,3
207,21.0,2001-03-01,34.61767,-76.54167,2,3,3
269,26.0,1991-11-27,34.66533,-76.59633,3,11,3
270,26.0,1994-01-23,34.61962,-76.56387,2,1,3
271,26.0,1994-11-08,34.66533,-76.59633,3,11,3
272,26.0,1994-11-10,34.62583,-76.54273,3,11,3
273,26.0,1994-11-20,34.66533,-76.59633,3,11,3
274,26.0,1994-12-12,34.62583,-76.54273,3,12,3
275,26.0,1995-01-26,34.62583,-76.54273,2,1,3
276,26.0,1995-07-30,34.66533,-76.59633,1,7,3
277,26.0,1995-08-01,34.69167,-76.72,1,8,3
278,26.0,1996-12-14,34.66533,-76.59633,3,12,3
279,26.0,1996-12-17,34.66533,-76.59633,3,12,3
280,26.0,1997-01-12,34.6805,-76.65567,2,1,3
281,26.0,1997-01-26,34.65883,-76.57933,2,1,3
282,26.0,1997-12-11,34.6815,-76.66033,3,12,3
283,26.0,1998-10-26,34.69667,-76.655,3,10,3
284,26.0,1998-10-29,34.67347,-76.62992,3,10,3
285,26.0,1999-02-05,34.6695,-76.61083,2,2,3
286,26.0,1999-02-26,34.66333,-76.59083,2,2,3
287,26.0,1999-03-11,34.66967,-76.61733,2,3,3
288,26.0,2001-01-29,34.6915,-76.6855,2,1,3
289,26.0,2002-10-19,35.04067,-76.48648,3,10,3
290,26.0,2003-03-24,34.67317,-76.62333,2,3,3
291,26.0,2003-07-01,35.11081,-75.94104,1,7,3
292,26.0,2003-11-24,34.674,-76.6295,3,11,3
293,26.0,2003-12-23,34.63483,-76.534,3,12,3
294,26.0,2004-03-03,34.66767,-76.60533,2,3,3
295,26.0,2004-03-18,34.67883,-76.66283,2,3,3
296,26.0,2004-12-16,34.67607,-76.66922,3,12,3
297,26.0,2005-03-04,34.67347,-76.62992,2,3,3
298,26.0,2005-03-25,34.67033,-76.62117,2,3,3
299,26.0,2006-02-02,35.06643,-76.0153,2,2,3
300,26.0,2006-03-30,34.66616,-76.59822,2,3,3
301,26.0,2006-03-31,34.67347,-76.62992,2,3,3
302,26.0,2006-12-06,34.6525,-76.56433,3,12,3
303,26.0,2007-03-12,34.64117,-76.54983,2,3,3
304,26.0,2010-03-09,34.6725,-76.627,2,3,3
305,26.0,2010-11-21,34.608,-76.5515,3,11,3
306,26.0,2013-07-27,35.36282,-76.31045,1,7,3
307,26.0,2016-04-11,35.21739,-76.4928,3,4,3
