,dolphin_id,sight_date,lat,lon,Season,month,Cluster
3,2.0,1996-07-06,38.9256,-74.9131,1,7,2
7,2.0,2012-08-20,38.9286,-74.9516,1,8,2
8,2.0,2012-08-27,38.9307,-74.904,1,8,2
11,2.0,2014-09-29,36.994083,-76.29005,1,9,2
44,9.0,1998-07-12,35.849,-75.55467,1,7,4
46,9.0,1999-08-25,34.95318,-76.67689,1,8,4
54,9.0,2006-07-10,34.78417,-76.68577,1,7,4
58,10.0,1994-09-27,34.697,-76.62712,1,9,4
67,10.0,2013-07-09,36.923033,-75.9925,1,7,4
134,17.0,1999-07-26,35.81668,-75.59662,1,7,4
186,21.0,1993-08-05,34.77027,-76.68582,1,8,3
188,21.0,1995-07-16,34.8645,-76.6917,1,7,3
191,21.0,1996-07-21,34.62583,-76.54273,1,7,3
196,21.0,1997-08-01,34.69167,-76.72,1,8,3
197,21.0,1997-08-04,34.7634,-76.6779,1,8,3
202,21.0,1999-09-24,34.7433,-76.67027,1,9,3
205,21.0,2000-07-19,35.87928,-75.62493,1,7,3
276,26.0,1995-07-30,34.66533,-76.59633,1,7,3
277,26.0,1995-08-01,34.69167,-76.72,1,8,3
291,26.0,2003-07-01,35.11081,-75.94104,1,7,3
306,26.0,2013-07-27,35.36282,-76.31045,1,7,3
312,29.0,1998-08-22,35.03502,-76.49628,1,8,4
316,29.0,2006-09-27,35.04626,-76.6416,1,9,4
318,29.0,2008-07-01,35.82782,-75.59882,1,7,4
319,29.0,2010-08-19,35.79749,-75.63044,1,8,4
320,29.0,2010-08-23,36.05795,-75.78259,1,8,4
321,29.0,2010-08-25,35.81019,-75.64272,1,8,4
322,29.0,2012-09-12,35.91583,-75.63785,1,9,4
327,30.0,2013-08-31,36.93705,-76.036983,1,8,4
328,30.0,2014-07-23,36.913333,-75.987567,1,7,4
367,33.0,1998-09-05,35.008,-76.5057,1,9,4
368,33.0,1998-09-25,34.95176,-76.86966,1,9,4
372,33.0,2000-07-21,35.46734,-75.53891,1,7,4
457,52.0,1999-08-03,35.86207,-75.61718,1,8,4
458,52.0,1999-08-07,35.78185,-75.57462,1,8,4
459,52.0,1999-08-17,35.82203,-75.60405,1,8,4
485,58.0,1998-08-22,35.03502,-76.49628,1,8,4
486,58.0,1998-09-05,35.008,-76.5057,1,9,4
487,58.0,2000-08-25,34.98836,-76.75652,1,8,4
492,58.0,2010-08-10,35.88918,-75.62834,1,8,4
500,78.0,1995-08-19,34.71267,-76.68017,1,8,4
501,78.0,1997-07-17,35.7875,-75.572222,1,7,4
503,78.0,1998-08-19,35.8213,-75.5952,1,8,4
504,78.0,1998-08-20,35.87872,-75.6241,1,8,4
505,78.0,1998-08-22,35.85763,-75.61503,1,8,4
506,78.0,1998-09-21,35.84855,-75.60968,1,9,4
507,78.0,1998-09-22,35.8151,-75.59522,1,9,4
508,78.0,1998-09-24,35.79912,-75.58203,1,9,4
509,78.0,1998-09-25,35.82678,-75.59957,1,9,4
510,78.0,1998-09-26,35.88078,-75.62437,1,9,4
511,78.0,1998-09-26,35.88935,-75.63147,1,9,4
512,78.0,1999-08-02,35.88757,-75.6246,1,8,4
513,78.0,1999-08-03,35.83138,-75.6002,1,8,4
514,78.0,1999-08-06,35.81177,-75.59048,1,8,4
515,78.0,1999-08-06,35.83463,-75.60252,1,8,4
516,78.0,1999-08-06,35.87217,-75.62113,1,8,4
517,78.0,1999-09-03,35.7709,-75.58283,1,9,4
519,78.0,2000-07-08,34.96282,-76.3991,1,7,4
520,78.0,2000-07-18,35.76795,-75.54122,1,7,4
521,78.0,2000-07-18,35.93503,-75.66703,1,7,4
522,78.0,2000-07-19,35.83576,-75.60243,1,7,4
523,78.0,2000-07-19,35.83508,-75.60345,1,7,4
524,78.0,2000-07-24,35.89862,-75.63688,1,7,4
525,78.0,2000-07-29,35.94215,-75.63332,1,7,4
526,78.0,2000-08-01,35.81732,-75.59287,1,8,4
527,78.0,2000-08-05,35.79773,-75.61363,1,8,4
528,78.0,2000-08-06,35.78413,-75.57382,1,8,4
529,78.0,2000-08-08,35.889,-75.6187,1,8,4
530,78.0,2000-08-10,35.84207,-75.60757,1,8,4
531,78.0,2000-08-11,35.89798,-75.6302,1,8,4
532,78.0,2000-08-12,35.91892,-75.6398,1,8,4
533,78.0,2000-08-24,35.82038,-75.6124,1,8,4
534,78.0,2000-08-24,35.85552,-75.61395,1,8,4
535,78.0,2000-09-10,35.86827,-75.61998,1,9,4
536,78.0,2000-09-11,35.85095,-75.61142,1,9,4
537,78.0,2000-09-12,35.83908,-75.60532,1,9,4
551,78.0,2011-08-21,35.76949,-75.58708,1,8,4
552,78.0,2012-09-12,35.88142,-75.62448,1,9,4
560,80.0,1998-09-14,34.99896,-76.72908,1,9,4
564,80.0,1999-07-26,35.81668,-75.59662,1,7,4
566,80.0,2000-07-17,35.36486,-76.34396,1,7,4
570,80.0,2003-07-01,35.11081,-75.94104,1,7,4
589,81.0,1998-09-28,35.00653,-76.52285,1,9,3
615,83.0,1998-07-30,35.09535,-76.58105,1,7,3
616,83.0,1998-08-04,34.96708,-76.5854,1,8,3
630,88.0,2002-09-20,34.6893,-76.62842,1,9,3
633,88.0,2004-09-10,34.792,-76.68633,1,9,3
634,88.0,2005-07-05,34.7355,-76.67633,1,7,3
635,88.0,2005-08-11,34.77027,-76.68582,1,8,3
636,88.0,2005-09-20,34.70933,-76.588,1,9,3
661,95.0,1995-07-19,34.71275,-76.71798,1,7,4
667,95.0,1997-07-05,35.7944,-75.5747,1,7,4
674,95.0,1998-07-06,35.79425,-75.57808,1,7,4
675,95.0,1998-07-08,35.79778,-75.58172,1,7,4
676,95.0,1998-07-12,35.8265,-75.592,1,7,4
677,95.0,1998-08-17,35.87975,-75.62332,1,8,4
678,95.0,1998-09-11,35.78753,-75.5763,1,9,4
679,95.0,1998-09-13,35.78967,-75.52467,1,9,4
688,95.0,1999-07-03,35.8143,-75.59147,1,7,4
689,95.0,1999-07-13,35.89212,-75.62922,1,7,4
690,95.0,1999-07-14,35.92958,-75.62528,1,7,4
