,Follow_ID,Dolphin_ID,Demo,Demo_Confidence,Degree,AM_deg,AF_deg,AFNN_deg,AFNNN_deg,JX_deg,low_AM_deg,low_AF_deg,low_JX_deg,Follow_length,Date,Number_Syncs,Group_Size,Year
0,F000001,T00001,AFNNN,High,2,0,1,0,0,1,0,1,1,31,2021-09-13,19.0,11,2021
1,F000002,PC01466,AFNNN,High,2,2,0,0,0,0,0,0,0,11,2021-07-20,4.0,18,2021
2,F000003,T00007,AFNNN,High,1,0,0,0,0,1,0,0,0,36,2021-06-23,1.0,3,2021
3,F000004,T00010,AFNNN,High,1,0,0,0,0,1,0,0,0,31,2021-07-27,11.0,3,2021
4,F000005,T00013,AFNNN,High,0,0,0,0,0,0,0,0,0,31,2021-07-05,0.0,4,2021
5,F000006,T00015,AFNNN,High,2,0,0,0,0,2,0,0,2,30,2021-07-14,7.0,4,2021
6,F000007,PC00430,AFNN,High,0,0,0,0,0,0,0,0,0,16,2021-08-22,0.0,13,2021
7,F000008,PC00544,AFNN,High,4,2,1,0,1,0,2,1,0,22,2021-08-23,2.0,90,2021
8,F000009,PC00185,AM,High,1,1,0,0,0,0,0,0,0,30,2021-08-11,5.0,2,2021
9,F000010,T00023,JX,Low,4,0,0,0,0,4,0,0,4,30,2021-07-01,16.0,5,2021
10,F000011,T00028,JX,High,1,1,0,0,0,0,1,0,0,11,2021-09-13,2.0,11,2021
11,F000012,PC00132,AFNNN,High,1,1,0,0,0,0,0,0,0,16,2021-08-22,2.0,13,2021
12,F000013,T00031,JX,Low,3,2,1,0,0,0,1,1,0,16,2021-08-27,8.0,14,2021
13,F000014,T00034,AFNNN,High,0,0,0,0,0,0,0,0,0,31,2021-07-06,0.0,9,2021
14,F000015,T00036,AM,High,1,0,0,0,0,1,0,0,1,16,2021-07-06,4.0,8,2021
15,F000016,T00036,AM,High,3,2,0,0,0,1,1,0,1,26,2021-07-21,9.0,5,2021
16,F000017,PC00387,AM,High,1,1,0,0,0,0,0,0,0,30,2021-09-11,11.0,3,2021
17,F000018,PC00399,AM,High,2,1,0,0,0,1,0,0,1,15,2021-07-20,2.0,9,2021
18,F000019,PC00270,AM,High,2,2,0,0,0,0,1,0,0,31,2021-08-30,7.0,3,2021
19,F000020,T00043,AM,Low,2,2,0,0,0,0,1,0,0,32,2021-08-27,9.0,4,2021
20,F000021,PC00400,AM,High,1,1,0,0,0,0,0,0,0,16,2021-08-27,1.0,14,2021
21,F000022,PC00243,AFNN,High,1,0,0,1,0,0,0,0,0,11,2021-08-23,4.0,90,2021
22,F000024,T00046,JX,Low,2,0,0,0,0,2,0,0,2,31,2021-07-15,8.0,5,2021
23,F000025,T00049,AM,High,2,2,0,0,0,0,2,0,0,39,2021-07-24,10.0,40,2021
24,F000026,T00052,JX,Low,0,0,0,0,0,0,0,0,0,11,2021-07-16,0.0,15,2021
25,F000027,PC00295,AFNNN,High,2,0,1,0,1,0,0,0,0,31,2021-09-14,8.0,7,2021
26,F000028,T00054,JX,Low,1,0,0,0,0,1,0,0,0,11,2021-06-21,1.0,20,2021
27,F000029,T00055,AM,High,2,0,0,0,2,0,0,0,0,16,2021-07-15,9.0,13,2021
28,F000030,PC00473,AM,High,2,2,0,0,0,0,0,0,0,31,2021-08-30,7.0,2,2021
29,F000031,T00059,AFNN,High,2,0,1,1,0,0,0,1,0,12,2021-08-31,3.0,35,2021
30,F000032,PC00592,AM,High,1,1,0,0,0,0,0,0,0,31,2021-08-25,10.0,3,2021
31,F000033,PC00160,AM,High,1,1,0,0,0,0,0,0,0,31,2021-09-11,6.0,5,2021
32,F000034,PC00709,AFNN,High,3,0,1,0,0,2,0,1,2,11,2021-07-16,7.0,15,2021
33,F000035,T00066,AM,Low,1,1,0,0,0,0,1,0,0,30,2021-07-20,20.0,2,2021
