,dolphin,mean_distance
0,PC00394,206.0
1,PC00397,1535.3
2,PC00410,206.0
3,PC00411,206.0
4,PC00477,178.6
5,PC00479,178.6
6,PC00194,512.4
7,PC00281,512.4
8,PC00285,679.4
9,PC00296,423.2
10,PC00377,781.9
11,PC00384,768.0
12,PC00400,1708.6
13,PC00402,488.4
14,PC00419,488.4
15,PC00425,353.9
16,PC00430,353.9
17,PC00431,536.0
18,PC00438,744.5
19,PC00441,353.9
20,PC00442,353.9
21,PC00455,454.4
22,PC00457,353.9
23,PC00467,353.9
24,PC00473,487.4
25,PC00475,353.9
26,PC00492,902.0
27,PC00499,454.4
28,PC00501,353.9
29,PC00503,347.9
30,PC00510,488.4
31,PC00511,286.3
32,PC00512,488.1
33,PC00515,746.0
34,PC00521,353.9
35,PC00526,229.9
36,PC00537,353.9
37,PC00541,353.9
38,PC00551,353.9
39,PC00552,706.0
40,PC00554,1061.5
41,PC00555,286.3
42,PC00556,353.9
43,PC00560,353.9
44,PC00561,488.1
45,PC00591,989.1
46,PC00639,902.0
47,PC00783,390.7
48,PC00132,950.1
49,PC00160,864.3
50,PC00185,804.4
51,PC00196,957.1
52,PC00198,579.2
53,PC00210,806.9
54,PC00211,862.4
55,PC00241,504.4
56,PC00249,861.9
57,PC00254,621.1
58,PC00272,806.9
59,PC00276,1027.9
60,PC00286,529.6
61,PC00289,455.0
62,PC00299,463.7
63,PC00305,823.8
64,PC00314,706.3
65,PC00356,864.3
66,PC00367,791.8
67,PC00387,856.8
68,PC00388,541.7
69,PC00399,856.8
70,PC00407,915.1
71,PC00432,541.7
72,PC00439,541.7
73,PC00440,541.7
74,PC00444,541.7
75,PC00448,541.7
76,PC00482,707.7
77,PC00496,592.5
78,PC00514,480.0
79,PC00535,908.0
80,PC00543,541.7
81,PC00559,480.0
82,PC00562,908.0
83,PC00619,582.1
84,PC00169,417.3
85,PC00284,388.8
86,PC00368,383.6
87,PC00395,488.0
88,PC00412,488.0
89,PC00435,582.8
90,PC00436,488.0
91,PC00437,488.0
92,PC00446,488.0
93,PC00447,464.5
94,PC00469,488.0
95,PC00471,488.0
96,PC00472,488.0
97,PC00483,488.0
98,PC00487,488.0
99,PC00490,488.0
100,PC00493,488.0
101,PC00497,488.0
102,PC00498,582.8
103,PC00518,488.0
104,PC00519,488.0
105,PC00522,525.0
106,PC00534,488.0
107,PC00547,488.0
108,PC00548,488.0
109,PC00082,442.2
110,PC00401,248.7
111,PC00409,248.7
112,PC00414,248.7
113,PC00416,248.7
114,PC00423,367.3
115,PC00480,248.7
116,PC00491,2093.9
117,PC00505,395.3
118,PC00507,248.7
119,PC00068,838.7
120,PC00096,930.9
121,PC00146,486.8
122,PC00150,353.5
123,PC00167,337.7
124,PC00172,406.9
125,PC00214,833.3
126,PC00238,452.0
127,PC00250,393.8
128,PC00253,393.8
129,PC00261,370.4
130,PC00262,562.6
131,PC00263,777.1
132,PC00273,372.2
133,PC00274,893.4
134,PC00283,597.3
135,PC00295,1354.2
136,PC00297,353.5
137,PC00306,353.5
138,PC00313,690.1
139,PC00315,817.3
140,PC00323,1098.8
141,PC00324,501.1
142,PC00358,1495.6
143,PC00370,454.5
144,PC00396,404.8
145,PC00403,201.8
146,PC00404,975.4
147,PC00406,315.2
148,PC00418,201.8
149,PC00420,201.8
150,PC00422,404.8
151,PC00426,201.8
152,PC00427,201.8
153,PC00429,698.0
154,PC00434,201.8
155,PC00445,870.9
156,PC00451,415.7
157,PC00453,309.7
158,PC00454,895.9
159,PC00456,1104.2
160,PC00458,872.2
161,PC00463,1055.0
162,PC00466,749.5
163,PC00470,618.6
164,PC00476,201.8
165,PC00478,1030.3
166,PC00488,201.8
167,PC00489,404.8
168,PC00494,201.8
169,PC00504,201.8
170,PC00509,1319.8
171,PC00527,1243.6
172,PC00533,958.0
173,PC00536,201.8
174,PC00542,415.7
175,PC00544,386.5
176,PC00549,1030.3
177,PC00550,512.3
178,PC00553,201.8
179,PC00564,1200.3
180,PC00618,404.6
181,PC00635,2927.4
182,PC01504,2927.4
183,PC01505,2927.4
184,//PC00242//,635.6
185,//PC01555//,4168.7
186,PC00001,4168.7
187,PC00002,4168.7
188,PC00003,4168.7
189,PC00004,4168.7
190,PC00005,4168.7
191,PC00007,4168.7
192,PC00008,4168.7
193,PC00009,4168.7
194,PC00010,4168.7
195,PC00011,4168.7
196,PC00012,4168.7
197,PC00013,4168.7
198,PC00014,4168.7
199,PC00015,4168.7
200,PC00016,4168.7
201,PC00017,4168.7
202,PC00018,4168.7
203,PC00019,4168.7
204,PC00020,4168.7
205,PC00021,4168.7
206,PC00022,4168.7
207,PC00023,488.8
208,PC00024,4168.7
209,PC00025,4168.7
210,PC00026,4168.7
211,PC00027,4168.7
212,PC00028,635.6
213,PC00029,635.6
214,PC00030,635.6
215,PC00031,4168.7
216,PC00032,4168.7
217,PC00033,4168.7
218,PC00035,4168.7
219,PC00036,4168.7
220,PC00037,4168.7
221,PC00038,4168.7
222,PC00039,4168.7
223,PC00040,4168.7
224,PC00041,4168.7
225,PC00042,4168.7
226,PC00043,4168.7
227,PC00044,4168.7
228,PC00045,4168.7
229,PC00046,4168.7
230,PC00047,4168.7
231,PC00048,4168.7
232,PC00049,4168.7
233,PC00050,4168.7
234,PC00051,4168.7
235,PC00052,4168.7
236,PC00053,635.6
237,PC00054,4168.7
238,PC00055,4168.7
239,PC00056,4168.7
240,PC00057,4168.7
241,PC00058,4168.7
242,PC00059,4168.7
243,PC00060,4168.7
244,PC00061,4168.7
245,PC00063,2281.7
246,PC00064,4168.7
247,PC00065,4168.7
248,PC00066,635.6
249,PC00067,4168.7
250,PC00069,635.6
251,PC00070,4168.7
252,PC00071,4168.7
253,PC00072,4168.7
254,PC00074,4168.7
255,PC00075,4168.7
256,PC00076,4168.7
257,PC00077,4168.7
258,PC00078,4168.7
259,PC00079,4168.7
260,PC00080,4168.7
261,PC00081,4168.7
262,PC00083,4168.7
263,PC00084,4168.7
264,PC00085,4168.7
265,PC00086,4168.7
266,PC00087,4168.7
267,PC00088,635.6
268,PC00089,4168.7
269,PC00090,4168.7
270,PC00091,4168.7
271,PC00094,4168.7
272,PC00095,4168.7
273,PC00097,4168.7
274,PC00098,4168.7
275,PC00099,4168.7
276,PC00100,4168.7
277,PC00101,4168.7
278,PC00102,4168.7
279,PC00103,4168.7
280,PC00104,4168.7
281,PC00105,4168.7
282,PC00106,4168.7
283,PC00107,4168.7
284,PC00108,4168.7
285,PC00109,635.6
286,PC00110,4168.7
287,PC00111,4168.7
288,PC00112,4168.7
289,PC00113,4168.7
290,PC00114,4168.7
291,PC00115,4168.7
292,PC00116,4168.7
293,PC00117,4168.7
294,PC00118,4168.7
295,PC00119,4168.7
296,PC00120,4168.7
297,PC00121,4168.7
298,PC00122,4168.7
299,PC00123,4168.7
300,PC00124,4168.7
301,PC00125,4168.7
302,PC00126,4168.7
303,PC00127,4168.7
304,PC00128,4168.7
305,PC00129,4168.7
306,PC00130,4168.7
307,PC00131,4168.7
308,PC00134,4168.7
309,PC00135,4168.7
310,PC00136,4168.7
311,PC00137,635.6
312,PC00138,4168.7
313,PC00139,4168.7
314,PC00140,4168.7
315,PC00141,4168.7
316,PC00142,4168.7
317,PC00143,4168.7
318,PC00144,4168.7
319,PC00145,4168.7
320,PC00151,4168.7
321,PC00257,2744.3
322,PC00342,2744.3
323,PC00347,2744.3
324,PC00372,2744.3
325,PC00557,2744.3
326,PC00567,275.0
327,PC00568,275.0
328,PC00270,801.0
329,PC00341,757.6
330,PC00569,1058.2
331,PC00570,1058.2
332,PC00571,1058.2
333,PC00572,818.9
334,PC00573,1058.2
335,PC00574,1058.2
336,PC00575,1058.2
337,PC00576,1058.2
338,PC00577,1058.2
339,PC00578,831.6
340,PC00580,1058.2
341,PC00581,1058.2
342,PC00582,740.1
343,PC00583,740.1
344,PC00584,1058.2
345,PC00585,1178.0
346,PC00586,1058.2
347,PC00587,1058.2
348,PC00588,1058.2
349,PC00589,831.6
350,PC00590,1333.2
351,PC00592,1870.4
352,PC00593,1106.2
353,PC00594,1058.2
354,PC00595,1058.2
355,PC00596,1058.2
356,PC00155,1137.3
357,PC00190,745.1
358,PC00199,742.1
359,PC00205,1541.2
360,PC00209,542.0
361,PC00213,615.6
362,PC00221,1094.1
363,PC00223,945.7
364,PC00233,966.8
365,PC00255,451.2
366,PC00256,1176.5
367,PC00280,462.4
368,PC00301,662.1
369,PC00302,575.8
370,PC00327,528.9
371,PC00337,1346.9
372,PC00338,1346.9
373,PC00340,1282.6
374,PC00344,478.6
375,PC00361,965.0
376,PC00373,533.3
377,PC00375,1055.1
378,PC00391,425.9
379,PC00474,1106.6
380,PC00484,933.4
381,PC00495,575.8
382,PC00528,1193.2
383,PC00532,514.1
384,PC00597,1032.8
385,PC00598,1148.6
386,PC00599,838.2
387,PC00600,838.2
388,PC00602,495.1
389,PC00604,1451.4
390,PC00605,448.2
391,PC00606,448.2
392,PC00607,1515.4
393,PC00608,495.1
394,PC00609,1106.6
395,PC00610,448.2
396,PC00611,448.2
397,PC00617,542.0
398,PC00621,542.0
399,PC00622,542.0
400,PC00623,542.0
401,PC00624,542.0
402,PC00625,542.0
403,PC00627,542.0
404,PC00628,542.0
405,PC00629,1655.4
406,PC00631,542.0
407,PC00632,2053.5
408,PC00633,542.0
409,PC00634,542.0
410,PC00636,1106.6
411,PC00638,542.0
412,PC00643,542.0
413,PC00645,542.0
414,PC00646,542.0
415,PC00647,542.0
416,PC01506,542.0
417,PC00640,573.1
418,PC00641,1028.8
419,PC00642,573.1
420,PC00316,464.5
421,PC00500,1333.1
422,PC00722,391.9
423,PC00763,391.9
424,PC00765,391.9
425,PC00766,391.9
426,PC00769,391.9
427,PC00006,1993.9
428,PC00034,2413.3
