"","Dolphin_ID","Follow_length","Degree","Stock","Year","Number_Syncs","Year_unique","duration_log","Occur"
"1","T00001",31,2,"Est",2021,19,"2021",3.43398720448515,"Y"
"2","PC01466",11,2,"Coast",2021,4,"2021",2.39789527279837,"Y"
"3","T00007",36,1,"Coast",2021,1,"2021",3.58351893845611,"Y"
"6","T00015",30,2,"Est",2021,7,"2021",3.40119738166216,"Y"
"8","PC00544",22,4,"Est",2021,2,"2021",3.09104245335832,"Y"
"10","T00023",30,4,"Est",2021,16,"2021",3.40119738166216,"Y"
"11","T00028",11,1,"Est",2021,2,"2021",2.39789527279837,"Y"
"13","T00031",16,3,"Est",2021,8,"2021",2.77258872223978,"Y"
"19","PC00270",31,2,"Est",2021,7,"2021",3.43398720448515,"Y"
"20","T00043",32,2,"Est",2021,9,"2021",3.46573590279973,"Y"
"21","PC00400",16,1,"Coast",2021,1,"2021",2.77258872223978,"Y"
"22","PC00243",11,1,"Est",2021,4,"2021",2.39789527279837,"Y"
"24","T00049",39,2,"Coast",2021,10,"2021",3.66356164612965,"Y"
"27","T00054",11,1,"Est",2021,1,"2021",2.39789527279837,"Y"
"28","T00055",16,2,"Coast",2021,9,"2021",2.77258872223978,"Y"
"29","PC00473",31,2,"Est",2021,7,"2021",3.43398720448515,"Y"
"30","T00059",12,2,"Est",2021,3,"2021",2.484906649788,"Y"
"33","PC00709",11,3,"Est",2021,7,"2021",2.39789527279837,"Y"
"34","T00066",30,1,"Est",2021,20,"2021",3.40119738166216,"Y"
"35","PC00381",11,2,"Est",2021,8,"2021",2.39789527279837,"Y"
"39","T00080",30,6,"Coast",2021,12,"2021",3.40119738166216,"Y"
"40","PC01422",11,2,"Est",2021,2,"2021",2.39789527279837,"Y"
"41","PC00301",11,3,"Est",2021,4,"2021",2.39789527279837,"Y"
"42","PC00254",21,2,"Est",2021,11,"2021",3.04452243772342,"Y"
"43","PC00803",16,2,"Est",2021,2,"2021",2.77258872223978,"Y"
"44","T00089",11,1,"Est",2021,4,"2021",2.39789527279837,"Y"
"45","PC00283",33,2,"Est",2019,2,"2019",3.49650756146648,"Y"
"47","T00092",61,1,"Est",2019,19,"2019",4.11087386417331,"Y"
"49","PC00234",32,1,"Est",2019,9,"2019",3.46573590279973,"Y"
"52","PC00536",33,1,"Est",2019,9,"2019",3.49650756146648,"Y"
"53","PC00368",33,2,"Est",2019,16,"2019",3.49650756146648,"Y"
"54","PC00373",33,3,"Est",2019,5,"2019",3.49650756146648,"Y"
"58","PC01107",60,1,"Est",2018,3,"2018",4.0943445622221,"Y"
"60","PC00899",121,2,"Est",2018,40,"2018",4.79579054559674,"Y"
"62","PC00250",60,2,"Est",2018,12,"2018",4.0943445622221,"Y"
"72","PC00238",15,2,"Est",2020,6,"2020",2.70805020110221,"Y"
"73","PC00301",20,1,"Est",2020,3,"2020",2.99573227355399,"Y"
"75","T00110",17,2,"Est",2022,4,"2022",2.83321334405622,"Y"
"77","T00103",30,2,"Coast",2022,12,"2022",3.40119738166216,"Y"
"78","T00118",30,5,"Est",2022,14,"2022",3.40119738166216,"Y"
"79","T00124",14,2,"Est",2022,3,"2022",2.63905732961526,"Y"
"81","PC00172",15,2,"Est",2022,4,"2022",2.70805020110221,"Y"
"82","T00130",15,6,"Coast",2022,6,"2022",2.70805020110221,"Y"
"86","T00144",15,1,"Coast",2022,1,"2022",2.70805020110221,"Y"
"87","PC00296",15,1,"Est",2022,2,"2022",2.70805020110221,"Y"
"89","T00152",15,2,"Est",2022,6,"2022",2.70805020110221,"Y"
"90","T00156",15,2,"Est",2022,8,"2022",2.70805020110221,"Y"
"91","T00159",15,3,"Coast",2022,4,"2022",2.70805020110221,"Y"
"92","T00163",30,4,"Est",2022,19,"2022",3.40119738166216,"Y"
"93","PC01762",15,4,"Coast",2022,4,"2022",2.70805020110221,"Y"
"95","T00173",16,2,"Coast",2022,2,"2022",2.77258872223978,"Y"
"96","T00177",15,3,"Coast",2022,10,"2022",2.70805020110221,"Y"
"97","T00150",15,2,"Est",2022,4,"2022",2.70805020110221,"Y"
"98","T00184",15,1,"Coast",2022,2,"2022",2.70805020110221,"Y"
"99","T00187",20,3,"Est",2022,12,"2022",2.99573227355399,"Y"
"101","PC00451",16,2,"Est",2022,6,"2022",2.77258872223978,"Y"
