"","Coastal","Estuarine"
"1","10","11"
"2","10","10"
"3","11","9"
"4","8","10"
"5","10","10"
"6","10","11"
"7","8","10"
"8","10","12"
"9","11","10"
"10","9","11"
"11","9","10"
"12","11","10"
"13","10","9"
"14","11","11"
"15","9","10"
"16","10","11"
"17","10","11"
"18","9","12"
"19","10","10"
"20","10","10"
"21","11","11"
"22","9","10"
"23","9","11"
"24","9","11"
"25","11","11"
"26","9","12"
"27","8","10"
"28","10","11"
"29","9","9"
"30","10","11"
"31","11","11"
"32","8","11"
"33","10","11"
"34","9","10"
"35","8","10"
"36","10","11"
"37","10","11"
"38","9","10"
"39","10","11"
"40","10","12"
"41","10","11"
"42","10","10"
"43","8","10"
"44","8","11"
"45","9","11"
"46","10","10"
"47","11","11"
"48","8","9"
"49","12","11"
"50","10","10"
"51","10","10"
"52","10","12"
"53","9","10"
"54","9","11"
"55","9","10"
"56","11","11"
"57","10","10"
"58","11","11"
"59","9","10"
"60","11","10"
"61","9","11"
"62","10","10"
"63","10","10"
"64","10","10"
"65","11","10"
"66","9","11"
"67","11","10"
"68","11","11"
"69","9","11"
"70","10","10"
"71","10","10"
"72","9","11"
"73","9","11"
"74","9","10"
"75","9","10"
"76","9","10"
"77","10","10"
"78","11","11"
"79","9","10"
"80","9","11"
"81","10","10"
"82","10","11"
"83","11","11"
"84","9","11"
"85","9","10"
"86","11","9"
"87","9","10"
"88","10","12"
"89","10","11"
"90","10","10"
"91","9","11"
"92","9","10"
"93","11","11"
"94","9","10"
"95","9","10"
"96","10","10"
"97","9","12"
"98","9","10"
"99","11","10"
"100","11","10"
"101","9","10"
"102","10","10"
"103","8","10"
"104","10","11"
"105","9","10"
"106","11","11"
"107","9","9"
"108","9","10"
"109","12","10"
"110","9","10"
"111","9","10"
"112","11","11"
"113","10","11"
"114","10","10"
"115","9","12"
"116","8","12"
"117","11","11"
"118","11","9"
"119","10","11"
"120","9","10"
"121","9","11"
"122","10","11"
"123","10","11"
"124","10","10"
"125","9","10"
"126","10","11"
"127","10","11"
"128","11","12"
"129","9","12"
"130","9","9"
"131","10","10"
"132","10","10"
"133","9","10"
"134","11","10"
"135","10","9"
"136","8","11"
"137","9","11"
"138","9","10"
"139","10","11"
"140","10","11"
"141","9","11"
"142","10","10"
"143","9","11"
"144","10","10"
"145","9","12"
"146","9","10"
"147","11","10"
"148","9","10"
"149","11","10"
"150","9","10"
"151","11","10"
"152","9","11"
"153","9","11"
"154","11","10"
