,Model,Zone1,Zone2,Zone3,Zone4,Total
0,Start Sep Patch 3,1.5440793158372137,1.8593955314227306,2.174719370229293,2.096897178637469,7.675091396126707
1,Start Sep Patch 3,1.4998304438961665,1.838470544540951,2.108513616282928,1.5725946878133774,7.019409292533423
2,Start Sep Patch 3,1.574429378517678,1.8409336022294391,2.091592814012908,1.662127990827421,7.169083785587446
3,Start Sep Patch 3,1.5798817983087237,1.870457954053517,2.1472082842351496,1.690814893732369,7.288362930329759
4,Start Sep Patch 3,1.4717904825056802,1.8545754220498987,2.0155567339399654,1.9221113536623686,7.264033992157914
5,Start Sep Patch 3,1.5366247165984421,1.8457186831092118,2.1224491875434066,1.7292805698755458,7.234073157126606
6,Start Sep Patch 3,1.6235778407452355,1.8403996688898576,2.338911259681733,1.8632094868191376,7.666098256135964
7,Start Sep Patch 3,1.5079535044540866,1.8413747170613546,2.070756527730763,1.625482654111849,7.045567403358053
8,Start Sep Patch 3,1.4775791302189338,1.848861823011927,2.1762107568146876,1.997226834818978,7.499878544864526
9,Start Sep Patch 3,1.576415604646301,1.8988952736223057,2.2294911669890105,1.9253070666945744,7.6301091119521915
10,Start Sep Patch 3,1.4943446280388741,1.8486284679836693,2.3054964330484116,1.9344199802894704,7.582889509360425
11,Start Sep Patch 3,1.5469515078846294,1.8584090317767774,2.206636279059733,2.104978212899586,7.716975031620726
12,Start Sep Patch 3,2.0324014146705935,2.186941531980177,1.713214631073294,1.7584632337950117,7.691020811519076
13,Start Sep Patch 3,1.9258779531228274,2.1354510254578782,1.8383963637204983,1.7367423143772918,7.636467656678496
14,Start Sep Patch 3,1.5393942356368595,1.8463187668887056,2.182166539513946,1.8045000596896654,7.372379601729177
15,Start Sep Patch 3,2.122081337419597,2.3811372465580325,1.7881876273950608,1.8140520807820162,8.105458292154706
16,Start Sep Patch 3,1.541411299572673,1.8499866682865713,2.1624443985353783,1.819979037498697,7.37382140389332
17,Start Sep Patch 3,2.392003202789159,2.5424928688677735,1.6686459911595737,2.0444732076014516,8.647615270417958
18,Start Sep Patch 3,1.7179840338429488,1.8886803217242534,2.150026320656592,1.4726403031112776,7.229330979335072
19,Start Sep Patch 3,2.2028520793300834,2.2049722892276624,1.0318632300400365,1.710837814461156,7.150525413058938
