,Epidemic_Start_Month,Epidemic_Start_Zone,EpiProb,FullEpiSize,ErrorZ1,ErrorZ2,ErrorZ3,ErrorZ4
0,Jan,1,0.32,0.64,-0.07536656227397034,-0.1290998586414095,-0.13981700508349032,-0.13733575882020818
1,Jan,2,0.46,0.69,-0.09152085270713373,-0.12825113006541364,-0.19267174966353282,-0.218391201984258
2,Jan,3,0.45,0.7,-0.07821884115959912,-0.09818001801093751,-0.12857557838662043,-0.19655382127916082
3,Jan,4,0.42,0.79,-0.13643400867272712,-0.12772359029248964,-0.12086268672535702,-0.11298565899447303
4,Feb,1,0.27,0.63,-0.07544477381822663,-0.1295585814570436,-0.13750277649581816,-0.13551295217000003
5,Feb,2,0.43,0.7,-0.10488381348925646,-0.1421514075677601,-0.1948009880427394,-0.21895919885175283
6,Feb,3,0.55,0.71,-0.10039893066363247,-0.11501135261913101,-0.1442900090389122,-0.19403585596941553
7,Feb,4,0.39,0.79,-0.14430180109053523,-0.14021245150367592,-0.13685042004851236,-0.13127825670498136
8,Mar,1,0.45,0.66,-0.09360972995546007,-0.13028905008810993,-0.12989627987600502,-0.13990547001209971
9,Mar,2,0.53,0.7,-0.11949540602657883,-0.14562913122357943,-0.17684415060853054,-0.1951546237517293
10,Mar,3,0.56,0.71,-0.11634379140075153,-0.128713693248275,-0.14651859618557359,-0.1760826670904608
11,Mar,4,0.56,0.77,-0.14935771201955417,-0.144565170554593,-0.142151304357058,-0.1404037442671257
12,Apr,1,0.51,0.66,-0.09827970915954015,-0.11835152869399107,-0.12743601752198824,-0.13623787581843472
13,Apr,2,0.96,0.68,-0.12034247252648293,-0.13305943969483716,-0.14959424236235863,-0.16790151394567898
14,Apr,3,0.99,0.68,-0.11716049135974874,-0.11658424787337122,-0.12675112176235093,-0.1435033533644087
15,Apr,4,0.61,0.66,-0.11558286133916404,-0.1013590997369335,-0.093836675384015,-0.09064666036961697
16,Model,1,0.59,0.65,-0.09862921798369888,-0.10757759301624883,-0.11228425984578434,-0.11664659721133248
17,Model,2,1.0,0.65,-0.10758908207944586,-0.11002832312553996,-0.1218659987765511,-0.13539120024409315
