,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Start Sep Patch 3,7.862,6.52,9.083,0.588,2.162,1.61,2.474,0.298,2.353,1.958,2.711,0.249,1.546,0.51,2.431,0.579,1.801,1.255,2.158,0.237
1,Start Model Patch 2,3.846,2.671,8.442,1.257,1.36,0.805,2.328,0.388,1.372,0.687,2.872,0.507,0.484,0.312,2.303,0.442,0.63,0.334,2.151,0.358
2,Start Aug Patch 2,7.748,7.23,8.425,0.29,1.595,1.587,1.647,0.01,2.156,1.964,2.522,0.089,2.154,1.36,2.495,0.179,1.844,1.589,2.225,0.168
3,Start Aug Patch 3,7.685,6.745,8.699,0.48,1.909,1.593,2.516,0.323,2.15,1.956,2.659,0.25,1.898,0.489,2.487,0.538,1.729,1.208,2.174,0.243
4,Start Model Patch 3,4.856,2.937,8.744,1.334,1.726,0.793,2.489,0.395,1.662,0.689,2.751,0.64,0.787,0.315,2.392,0.4,0.68,0.348,2.098,0.342
5,Start Sep Patch 2,7.733,6.392,8.209,0.316,1.63,1.585,2.43,0.128,2.142,1.957,2.534,0.089,2.171,0.55,2.42,0.262,1.79,0.879,2.067,0.188
6,Start Model Patch 1,4.773,4.219,7.105,0.499,1.304,1.061,2.024,0.166,2.003,1.939,2.296,0.065,0.417,0.3,1.077,0.137,1.049,0.497,2.022,0.358
7,Start Aug Patch 1,7.833,5.956,8.66,0.446,1.83,1.626,2.445,0.161,2.073,2.008,2.583,0.088,2.108,0.384,2.369,0.299,1.823,0.544,2.27,0.298
8,Start Sep Patch 1,7.508,6.289,8.355,0.551,1.668,1.601,1.806,0.045,2.117,2.028,2.253,0.044,2.233,2.043,2.478,0.092,1.491,0.541,2.098,0.496
9,Start Model Patch 4,7.152,5.638,8.35,0.618,1.99,1.588,2.426,0.242,2.462,2.044,2.778,0.195,1.336,0.379,2.412,0.597,1.365,0.771,1.879,0.246
10,Start Aug Patch 4,7.674,6.73,8.772,0.575,2.407,1.979,2.646,0.13,2.549,2.36,2.77,0.111,1.042,0.524,1.951,0.403,1.677,1.357,2.086,0.198
11,Start Sep Patch 4,7.768,6.514,8.713,0.591,2.364,1.979,2.546,0.134,2.489,2.19,2.695,0.131,1.131,0.512,1.893,0.401,1.784,1.279,2.108,0.216
12,Start Jul Patch 2,7.57,6.197,8.03,0.368,1.596,1.588,1.728,0.022,2.373,2.104,2.709,0.198,1.717,0.707,2.283,0.385,1.885,1.368,2.101,0.141
13,Start Jul Patch 3,7.256,6.675,8.196,0.302,1.653,1.589,1.932,0.063,1.996,1.954,2.665,0.111,2.17,1.53,2.42,0.146,1.437,0.989,1.926,0.213
14,Start May Patch 1,5.241,4.202,6.659,0.566,1.316,1.055,1.978,0.187,2.034,1.941,2.231,0.08,0.523,0.308,0.976,0.153,1.368,0.654,1.954,0.315
15,Start May Patch 3,6.414,4.175,8.749,0.915,2.046,1.589,2.53,0.248,2.38,1.036,2.755,0.322,1.082,0.592,2.367,0.532,0.906,0.423,1.982,0.308
16,Start Jul Patch 1,7.976,6.923,8.882,0.396,2.084,1.634,2.477,0.214,2.063,2.001,2.143,0.027,1.832,1.076,2.41,0.305,1.998,1.359,2.448,0.22
17,Start May Patch 2,4.463,3.004,8.152,0.97,1.843,0.917,2.324,0.269,1.384,0.671,2.676,0.595,0.433,0.313,2.103,0.234,0.804,0.416,2.096,0.301
18,Start Jul Patch 4,7.117,5.821,8.442,0.756,2.443,2.158,2.569,0.098,2.49,2.204,2.731,0.147,0.835,0.46,1.726,0.355,1.35,0.813,1.996,0.315
19,Start May Patch 4,7.206,5.996,8.785,0.641,2.004,1.587,2.634,0.325,2.42,1.963,2.807,0.224,1.613,0.481,2.239,0.602,1.169,0.677,1.653,0.234
20,Start Feb Patch 2,5.275,4.54,5.557,0.192,2.029,1.633,2.155,0.107,2.473,1.96,2.755,0.172,0.371,0.357,0.383,0.007,0.402,0.343,0.484,0.035
21,Start Nov Patch 2,6.55,4.502,7.927,0.587,1.926,1.587,2.64,0.277,2.436,1.976,2.982,0.303,1.645,0.384,2.756,0.84,0.544,0.542,0.548,0.001
22,Start Jun Patch 2,5.968,3.936,8.484,0.918,1.709,1.587,2.21,0.199,2.332,1.264,2.828,0.342,0.704,0.332,2.068,0.343,1.224,0.684,2.267,0.37
23,Start Mar Patch 3,5.024,3.705,5.663,0.492,1.903,0.931,2.169,0.251,2.138,1.321,2.529,0.279,0.51,0.312,0.597,0.06,0.472,0.374,0.676,0.049
24,Start Apr Patch 2,4.161,2.796,7.463,0.755,1.602,0.813,2.308,0.362,1.702,0.764,2.912,0.392,0.397,0.317,2.072,0.236,0.459,0.336,1.693,0.199
25,Start Apr Patch 3,4.144,2.696,7.706,0.903,1.422,0.82,2.346,0.362,1.64,0.69,2.417,0.433,0.562,0.331,2.208,0.289,0.52,0.361,1.829,0.222
26,Start Mar Patch 2,4.86,3.023,7.849,0.59,1.976,1.098,2.279,0.178,2.059,1.048,2.456,0.281,0.391,0.322,1.573,0.164,0.434,0.344,1.959,0.219
27,Start Jun Patch 3,7.16,6.01,8.545,0.529,1.807,1.586,2.578,0.275,2.263,1.955,2.822,0.265,1.89,0.686,2.409,0.453,1.2,0.77,1.825,0.247
28,Start Nov Patch 3,7.065,6.464,7.891,0.343,2.061,1.854,2.355,0.128,2.251,2.001,2.647,0.185,2.208,1.4,2.422,0.171,0.544,0.543,0.546,0.001
29,Start Feb Patch 3,5.425,3.674,5.918,0.404,2.016,1.353,2.193,0.158,2.362,1.348,2.638,0.236,0.568,0.436,0.843,0.075,0.478,0.423,0.544,0.03
30,Start Feb Patch 1,5.387,5.039,6.113,0.271,2.167,2.066,2.365,0.076,1.958,1.938,1.99,0.012,0.349,0.312,0.495,0.039,0.912,0.67,1.351,0.179
31,Start Jun Patch 1,6.751,5.106,8.886,0.872,1.902,1.277,2.462,0.3,2.014,1.944,2.258,0.066,0.984,0.401,2.016,0.386,1.851,1.122,2.363,0.26
32,Start Nov Patch 1,6.157,4.502,7.754,0.633,1.902,1.595,2.476,0.194,2.638,1.976,3.066,0.313,1.073,0.384,2.484,0.834,0.544,0.542,0.568,0.003
33,Start Apr Patch 1,4.808,4.33,5.391,0.287,1.72,1.213,2.131,0.292,1.98,1.937,2.109,0.041,0.336,0.302,0.486,0.036,0.772,0.519,1.627,0.182
34,Start Mar Patch 1,5.096,4.362,5.554,0.221,2.036,1.268,2.272,0.157,1.967,1.941,2.052,0.031,0.332,0.306,0.382,0.018,0.761,0.601,0.986,0.106
35,Start Feb Patch 4,5.898,4.96,6.237,0.243,2.076,1.847,2.182,0.078,2.393,1.808,2.587,0.146,0.557,0.491,0.692,0.048,0.872,0.8,0.952,0.041
36,Start Jun Patch 4,6.88,6.023,8.27,0.554,2.096,1.59,2.612,0.395,2.344,1.957,2.688,0.219,1.346,0.385,2.305,0.723,1.094,0.723,2.084,0.275
37,Start Nov Patch 4,7.071,6.19,8.796,0.514,2.295,1.987,2.526,0.139,2.513,2.292,2.68,0.086,0.896,0.574,1.792,0.233,1.366,0.791,2.068,0.287
38,Start Apr Patch 4,6.426,3.093,8.491,1.154,1.941,0.793,2.46,0.348,2.346,0.968,2.731,0.389,0.827,0.347,2.18,0.406,1.312,0.371,1.826,0.303
39,Start Mar Patch 4,5.297,3.783,6.09,0.595,1.863,0.86,2.154,0.291,2.069,0.872,2.499,0.325,0.516,0.381,0.602,0.049,0.848,0.408,1.366,0.131
40,Start Dec Patch 4,6.822,6.059,8.164,0.507,2.253,2.013,2.531,0.138,2.548,2.416,2.671,0.063,0.893,0.641,1.294,0.149,1.127,0.752,1.83,0.302
41,Start Jan Patch 2,5.385,4.861,5.886,0.196,1.921,1.679,2.174,0.128,2.66,2.09,2.917,0.15,0.374,0.352,0.384,0.007,0.43,0.343,0.543,0.047
42,Start Jan Patch 3,5.9,4.841,6.989,0.44,1.921,1.666,2.144,0.123,2.544,1.983,2.702,0.115,0.951,0.505,2.028,0.394,0.484,0.427,0.532,0.03
43,Start Jan Patch 1,5.55,5.017,5.922,0.223,2.206,2.074,2.293,0.055,1.957,1.935,2.018,0.017,0.355,0.315,0.419,0.027,1.031,0.63,1.357,0.173
44,Start Oct Patch 4,7.681,6.646,8.724,0.552,2.414,2.116,2.571,0.096,2.543,2.322,2.72,0.097,1.033,0.486,1.735,0.366,1.691,1.054,2.101,0.212
