,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,Start Sep Patch 3,-0.058,-0.134,0.017,0.027,-0.132,-0.248,-0.099,0.033,-0.088,-0.19,-0.039,0.04,-0.084,-0.311,0.099,0.111,0.071,-0.018,0.225,0.062
1,Start Model Patch 2,0.492,-0.199,0.703,0.218,0.578,-0.353,0.861,0.344,0.62,-0.271,0.944,0.353,0.224,-0.257,0.455,0.128,0.547,-0.125,0.716,0.217
2,Start Aug Patch 2,-0.045,-0.118,0.145,0.06,-0.196,-0.254,-0.132,0.029,-0.227,-0.295,-0.103,0.034,0.105,0.035,0.309,0.062,0.138,-0.012,0.612,0.158
3,Start Aug Patch 3,-0.002,-0.111,0.118,0.057,-0.166,-0.249,-0.105,0.045,-0.12,-0.21,-0.045,0.046,0.008,-0.251,0.123,0.109,0.269,0.004,0.679,0.203
4,Start Model Patch 3,0.302,-0.086,0.56,0.14,0.299,-0.329,0.851,0.366,0.501,-0.214,0.939,0.36,-0.052,-0.243,0.444,0.143,0.461,-0.117,0.696,0.174
5,Start Sep Patch 2,-0.066,-0.16,-0.016,0.027,-0.174,-0.236,-0.101,0.033,-0.211,-0.259,-0.067,0.044,0.061,-0.262,0.131,0.054,0.06,-0.12,0.241,0.066
6,Start Model Patch 1,0.432,0.173,0.506,0.055,0.703,0.278,0.85,0.135,-0.003,-0.137,0.036,0.029,0.399,0.244,0.5,0.062,0.631,0.178,0.719,0.105
7,Start Aug Patch 1,-0.078,-0.128,-0.017,0.027,-0.219,-0.359,-0.12,0.054,-0.193,-0.243,-0.112,0.03,0.064,-0.099,0.157,0.043,0.038,-0.118,0.199,0.067
8,Start Sep Patch 1,-0.119,-0.199,-0.051,0.038,-0.316,-0.439,-0.186,0.054,-0.242,-0.283,-0.206,0.023,0.057,-0.027,0.1,0.029,0.024,-0.132,0.23,0.104
9,Start Model Patch 4,0.055,-0.114,0.165,0.061,-0.12,-0.358,0.181,0.133,-0.036,-0.22,0.113,0.084,0.307,0.07,0.402,0.083,0.07,-0.081,0.362,0.104
10,Start Aug Patch 4,-0.016,-0.114,0.075,0.045,-0.117,-0.138,-0.102,0.008,-0.081,-0.132,-0.043,0.024,-0.174,-0.3,-0.036,0.068,0.307,-0.002,0.654,0.197
11,Start Sep Patch 4,-0.061,-0.126,-0.001,0.027,-0.115,-0.13,-0.099,0.008,-0.076,-0.131,-0.033,0.025,-0.154,-0.311,-0.013,0.069,0.1,-0.01,0.321,0.092
12,Start Jul Patch 2,0.081,-0.081,0.205,0.083,-0.197,-0.268,-0.09,0.036,-0.142,-0.244,-0.029,0.063,0.229,0.056,0.361,0.077,0.436,0.027,0.713,0.195
13,Start Jul Patch 3,0.07,-0.095,0.155,0.044,-0.204,-0.315,-0.139,0.032,-0.158,-0.241,-0.096,0.033,0.095,0.007,0.314,0.05,0.547,0.049,0.72,0.139
