,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,start_p1_May1-10,4.5,3.674,6.185,0.544,1.196,0.621,2.164,0.392,2.139,1.978,2.344,0.075,0.38,0.337,0.488,0.03,0.784,0.519,1.345,0.162
1,start_p1_May11-20,4.766,3.919,6.614,0.476,1.466,0.864,2.421,0.325,2.14,1.957,2.272,0.071,0.38,0.344,0.68,0.047,0.779,0.527,1.556,0.167
2,start_p1_May21-31,5.171,4.393,6.447,0.412,1.753,1.196,2.434,0.22,2.159,1.907,2.347,0.086,0.384,0.339,0.613,0.053,0.874,0.509,1.454,0.2
3,start_p2_May1-10,3.884,2.58,7.107,0.797,1.61,0.677,2.448,0.435,1.179,0.713,2.653,0.401,0.427,0.338,1.891,0.163,0.668,0.304,1.724,0.191
4,start_p2_May11-20,4.288,3.436,7.582,0.65,2.091,1.283,2.47,0.281,1.137,0.696,2.386,0.411,0.442,0.342,2.124,0.235,0.617,0.304,1.769,0.176
5,start_p2_May21-31,4.596,3.912,6.615,0.428,2.223,1.547,2.473,0.253,1.276,0.782,3.023,0.386,0.413,0.357,0.856,0.075,0.683,0.323,1.606,0.199
6,start_p1_June1-10,5.587,4.666,6.462,0.39,2.008,1.582,2.406,0.188,2.139,1.906,2.338,0.089,0.401,0.34,0.666,0.069,1.039,0.629,1.637,0.22
7,start_p1_June11-20,5.843,5.154,6.616,0.338,2.164,1.812,2.497,0.147,2.073,1.905,2.29,0.113,0.452,0.338,0.682,0.105,1.154,0.779,1.519,0.196
8,start_p1_June21-31,6.069,5.343,6.651,0.311,2.304,2.022,2.474,0.095,2.021,1.904,2.219,0.1,0.523,0.346,0.825,0.121,1.22,0.739,1.628,0.197
9,start_p2_June1-10,4.932,4.287,5.745,0.302,2.018,1.547,2.53,0.379,1.636,1.052,2.338,0.344,0.458,0.356,0.683,0.088,0.819,0.503,1.177,0.193
10,start_p2_June11-20,5.198,4.573,6.692,0.401,1.869,1.547,2.544,0.374,1.941,1.258,2.594,0.314,0.509,0.355,0.94,0.126,0.879,0.511,1.657,0.25
11,start_p2_June21-31,5.482,4.946,6.457,0.337,1.693,1.547,2.414,0.294,2.183,1.707,2.58,0.213,0.578,0.363,0.817,0.117,1.028,0.514,1.513,0.2
