,Model,Total SS,Min SS,Max SS,SD SS,Z1SS,Z1Min,Z1Max,Z1SD,Z2SS,Z2Min,Z2Max,Z2SD,Z3SS,Z3Min,Z3Max,Z3SD,Z4SS,Z4Min,Z4Max,Z4SD
0,start_p1_May1-10,0.498,0.216,0.582,0.076,0.715,0.137,0.936,0.205,0.073,-0.106,0.151,0.057,0.539,0.11,0.645,0.087,0.665,0.506,0.727,0.058
1,start_p1_May11-20,0.47,0.134,0.583,0.071,0.582,-0.018,0.87,0.19,0.066,-0.106,0.146,0.054,0.552,0.093,0.641,0.084,0.68,0.526,0.735,0.051
2,start_p1_May21-31,0.409,-0.005,0.519,0.092,0.414,-0.068,0.746,0.15,0.025,-0.203,0.152,0.067,0.53,-0.033,0.641,0.14,0.668,0.2,0.728,0.083
3,start_p2_May1-10,0.548,-0.113,0.738,0.148,0.458,-0.144,0.932,0.302,0.716,-0.151,0.945,0.284,0.461,-0.115,0.638,0.12,0.559,-0.071,0.74,0.14
4,start_p2_May11-20,0.457,-0.14,0.657,0.166,0.103,-0.162,0.702,0.22,0.736,-0.162,0.951,0.296,0.445,-0.185,0.644,0.16,0.545,-0.087,0.735,0.182
5,start_p2_May21-31,0.429,-0.127,0.589,0.1,-0.075,-0.195,0.39,0.103,0.707,-0.175,0.943,0.198,0.469,-0.106,0.608,0.136,0.616,-0.079,0.726,0.121
6,start_p1_June1-10,0.327,0.028,0.451,0.096,0.226,-0.048,0.523,0.139,-0.033,-0.162,0.113,0.053,0.477,-0.028,0.64,0.168,0.638,0.283,0.719,0.089
7,start_p1_June11-20,0.229,-0.039,0.404,0.121,0.092,-0.098,0.333,0.108,-0.074,-0.2,0.071,0.05,0.349,-0.089,0.648,0.238,0.551,0.126,0.724,0.143
8,start_p1_June21-31,0.14,-0.046,0.392,0.125,-0.026,-0.124,0.213,0.077,-0.1,-0.209,0.063,0.055,0.217,-0.077,0.626,0.234,0.469,0.148,0.713,0.176
9,start_p2_June1-10,0.364,0.149,0.494,0.078,-0.132,-0.22,-0.019,0.036,0.522,0.153,0.825,0.177,0.408,0.084,0.621,0.14,0.656,0.431,0.74,0.074
10,start_p2_June11-20,0.282,0.068,0.456,0.116,-0.141,-0.207,-0.038,0.034,0.33,-0.144,0.717,0.181,0.307,-0.069,0.638,0.217,0.631,0.393,0.742,0.094
11,start_p2_June21-31,0.207,0.046,0.38,0.085,-0.153,-0.204,-0.077,0.026,0.206,-0.033,0.428,0.111,0.19,-0.076,0.574,0.185,0.585,0.264,0.733,0.105
